file_path,obj_label,x_min,y_min,e1,e2,x_max,y_max,e3,e4
threat_items_dataset/bag_0488_rf_7a2d66a2970a8f5a9756a2115bf7ae4a.jpg,GUN,0.2671875,0.0234375,,,0.7203125,0.5625,,
threat_items_dataset/bag_0097_rf_6046d82290018f2373515b6fa76db364.jpg,KNIFE,0.3640625,0.7484375,,,0.7015625,0.90625,,
threat_items_dataset/bag_0168_rf_b4e34b6fc9175aecfca5a0d33206ac9b.jpg,GUN,0.0375,0.4015625,,,0.2875,0.815625,,
threat_items_dataset/bag_1431_rf_d3300d62583a3e3ce72616964aadd7b7.jpg,BLADE,0.2390625,0.359375,,,0.3515625,0.559375,,
threat_items_dataset/bag_0979_rf_01f26c5faf5c8f9a9bf36c3bc2e7cbc5.jpg,BLADE,0.4578125,0.59375,,,0.5671875,0.7703125,,
threat_items_dataset/bag_0447_rf_2e38dac0e4a287ddc1040ae92a5b9c0d.jpg,BLADE,0.371875,0.39375,,,0.5203125,0.6140625,,
threat_items_dataset/bag_0171_rf_a1671b3ba54be24e44e9382eeb538696.jpg,KNIFE,0.484375,0.7984375,,,0.7390625,0.959375,,
threat_items_dataset/bag_0403_rf_3c5c5dda847140b83e71d4416d7e9e00.jpg,SHURIKEN,0.2875,0.3140625,,,0.353125,0.55,,
threat_items_dataset/bag_0410_rf_5d81d8213d3e034518655a89ba9b2e08.jpg,SHURIKEN,0.2984375,0.396875,,,0.3484375,0.5890625,,
threat_items_dataset/bag_0175_rf_699956ccf5fb1f631d06bf6198c5e019.jpg,KNIFE,0.3765625,0.0203125,,,0.6703125,0.228125,,
threat_items_dataset/bag_0100_rf_6bd0822e9d062a7244f4f3b3a2c5ce15.jpg,GUN,0.1546875,0.2203125,,,0.5328125,0.6703125,,
threat_items_dataset/bag_0415_rf_6bd0364e5d6dd8162a8e63507e411693.jpg,SHURIKEN,0.2953125,0.4234375,,,0.3578125,0.665625,,
threat_items_dataset/bag_0025_rf_7e55d66504fbed6cf4e70ab4a4e3693b.jpg,SHURIKEN,0.2953125,0.4234375,,,0.3578125,0.665625,,
threat_items_dataset/bag_0833_rf_48dbedca899f0e62db0aed3eb8236c3c.jpg,KNIFE,0.3796875,0.55625,,,0.8546875,0.6953125,,
threat_items_dataset/bag_0743_rf_04b89d774b4c59b7300fe81b5f1eaf6f.jpg,SHURIKEN,0.2671875,0.1359375,,,0.4328125,0.5140625,,
threat_items_dataset/bag_0413_rf_16ac55f667038a92bd50fc1f158103db.jpg,SHURIKEN,0.2921875,0.4546875,,,0.3578125,0.690625,,
threat_items_dataset/bag_1220_rf_319097b297a1ec55718ffdbdcb369ec2.jpg,KNIFE,0.0671875,0.015625,,,0.2796875,0.7625,,
threat_items_dataset/bag_1412_rf_3ac3dd3302a7426e6673208f38f9da0c.jpg,BLADE,0.34375,0.315625,,,0.446875,0.528125,,
threat_items_dataset/bag_0492_rf_99a0e1769b2ea665a47375018a3d2843.jpg,KNIFE,0.625,0.0890625,,,0.740625,0.60625,,
threat_items_dataset/bag_0171_rf_a1671b3ba54be24e44e9382eeb538696.jpg,GUN,0.4140625,0.4,,,0.6296875,0.8171875,,
threat_items_dataset/bag_0973_rf_3a88f22b1ccaef3acb31c2bf3d45ffea.jpg,BLADE,0.340625,0.2515625,,,0.503125,0.384375,,
threat_items_dataset/bag_0097_rf_76fd760b1d60db6bc577dab59c632234.jpg,GUN,0.2140625,0.31875,,,0.5875,0.7625,,
threat_items_dataset/bag_1400_rf_b29b6650daca85470e24ef1caaa4b363.jpg,BLADE,0.409375,0.553125,,,0.4875,0.696875,,
threat_items_dataset/bag_1043_rf_eb73d80ec5d6b52130321f6aa8f5c0cc.jpg,GUN,0.2875,0.4421875,,,0.7390625,0.9765625,,
threat_items_dataset/bag_0099_rf_fc7b2dd2efc2585ab87046e1afa8b3c6.jpg,KNIFE,0.2109375,0.0765625,,,0.54375,0.2265625,,
threat_items_dataset/bag_0089_rf_50669e55dde6a0b409c2ebdd4938c15b.jpg,GUN,0.13125,0.2203125,,,0.5234375,0.675,,
threat_items_dataset/bag_0552_rf_8c6e21915678ed4ec4bd06c29356f412.jpg,SHURIKEN,0.334375,0.084375,,,0.5046875,0.428125,,
threat_items_dataset/bag_0100_rf_6bd0822e9d062a7244f4f3b3a2c5ce15.jpg,KNIFE,0.2453125,0.075,,,0.55,0.2265625,,
threat_items_dataset/bag_0974_rf_a4f9fee144cbcc2d08b46d6fad0d98dc.jpg,BLADE,0.36875,0.36875,,,0.5796875,0.55625,,
threat_items_dataset/bag_1053_rf_2b64935274bf2e0244e1dbffcd2156d5.jpg,BLADE,0.190625,0.0015625,,,0.7140625,0.253125,,
threat_items_dataset/bag_0090_rf_cd345911fd2d68c6b0b2a78e63fa6047.jpg,KNIFE,0.2421875,0.7734375,,,0.5515625,0.9296875,,
threat_items_dataset/bag_0162_rf_869bc607df649d66306fc948c8a8119e.jpg,GUN,0.1890625,0.1921875,,,0.5609375,0.6515625,,
threat_items_dataset/bag_1220_rf_1f515eaa3b01485249e3143afa34bdcc.jpg,GUN,0.6171875,0.0015625,,,0.8875,0.1015625,,
threat_items_dataset/bag_0591_rf_55111c9247fbc264b314a46afb26cf3e.jpg,KNIFE,0.246875,0.290625,,,0.3390625,0.7609375,,
